,loss,accuracy,val_loss,val_accuracy
0,0.6970933806605455,0.5096544623374939,0.6782867288589478,0.518750011920929
1,0.6662216167139813,0.584857702255249,0.6383836150169373,0.6299999952316284
2,0.6242454018050093,0.6509146094322205,0.6075764799118042,0.6537500023841858
3,0.5741457992452916,0.7012194991111755,0.5741657543182374,0.6850000023841858
4,0.5437188046734508,0.735264241695404,0.5638414371013641,0.7124999761581421
5,0.46615828101227924,0.7774389982223511,0.5275012171268463,0.7275000214576721
6,0.4194818395909255,0.7972561120986938,0.5284111595153809,0.7250000238418579
7,0.3641239693009756,0.8394308686256409,0.6076861596107483,0.7137500047683716
8,0.31073432845797966,0.8678861856460571,0.5943317532539367,0.7300000190734863
9,0.24589513666261503,0.8938007950782776,0.5890921175479888,0.7325000166893005
